Method,Buckets,Memory(MiB),FPR,MaxBucket,BuildTime(ms),Dataset
Baseline_L3,2886,0.47,0.0038,8271,1921.2,ODS-french
AdaptivePrefix,3666,0.47,0.0044,2453,2091.5,ODS-french
SkipSmall,2886,0.465,0.001,8271,1988.1,ODS-french
AdaptiveP,2886,0.505,0.0098,8271,2007.2,ODS-french
Hybrid,3666,0.465,0.0016,2453,1973.7,ODS-french
Baseline_L3,3052,0.197,0.004,1946,834.4,enable
AdaptivePrefix,3243,0.197,0.0054,1676,831.4,enable
SkipSmall,3052,0.192,0.0014,1946,814.5,enable
AdaptiveP,3052,0.199,0.008,1946,870.6,enable
Hybrid,3243,0.192,0.0014,1676,811.9,enable
Baseline_L3,4393,2.181,0.007,57732,9166.8,german
AdaptivePrefix,8970,2.18,0.0062,10850,9540.8,german
SkipSmall,4393,2.175,0.001,57732,9200.7,german
AdaptiveP,4393,2.47,0.0114,57732,9841.4,german
Hybrid,8970,2.169,0.0012,10850,10998.2,german
Baseline_L3,2413,0.108,0.0042,1423,512.3,italian
AdaptivePrefix,2457,0.108,0.0052,922,533.4,italian
SkipSmall,2413,0.104,0.0014,1423,573.6,italian
AdaptiveP,2413,0.108,0.0098,1423,692.2,italian
Hybrid,2457,0.104,0.0006,922,449.3,italian
Baseline_L3,3564,0.306,0.0038,2795,1422.8,sowpods
AdaptivePrefix,3961,0.306,0.0058,2234,1401.0,sowpods
SkipSmall,3564,0.3,0.0016,2795,1396.1,sowpods
AdaptiveP,3564,0.313,0.0128,2795,1399.5,sowpods
Hybrid,3961,0.299,0.0012,2234,1753.7,sowpods
Baseline_L3,17301,0.17,0.0396,75002,849.7,synthetic_skewed
AdaptivePrefix,17326,0.17,0.0434,3039,933.0,synthetic_skewed
SkipSmall,17301,0.089,0.0002,75002,474.0,synthetic_skewed
AdaptiveP,17301,0.153,0.0874,75002,849.2,synthetic_skewed
Hybrid,17326,0.089,0.0,3039,523.4,synthetic_skewed
Baseline_L3,3106,0.204,0.004,1881,991.4,twl
AdaptivePrefix,3289,0.204,0.0046,1643,971.6,twl
SkipSmall,3106,0.199,0.0012,1881,897.8,twl
AdaptiveP,3106,0.205,0.0082,1881,1013.2,twl
Hybrid,3289,0.198,0.001,1643,917.4,twl
